"","anime_name","user_id","overall_rating","review_date"
"1","Shuumatsu no Walküre","BimaSylirian","
        Overall Rating:
        5
      ","Sep 14, 2021"
"2","Violet Evergarden","Pingu_the_weeb","
        Overall Rating:
        10
      ","Sep 14, 2021"
"3","Yosuga no Sora: In Solitude, Where We Are Least Alone.","tishhu","
        Overall Rating:
        7
      ","Sep 14, 2021"
"4","Tasogare Otome x Amnesia","Lofen","
        Overall Rating:
        5
      ","Sep 14, 2021"
"5","Dororo","Bav6","
        Overall Rating:
        7
      ","Sep 14, 2021"
"6","Kobayashi-san Chi no Maid Dragon S","SolidusSnake1995","
        Overall Rating:
        8
      ","Sep 14, 2021"
"7","Overlord","hamim_yasin","
        Overall Rating:
        6
      ","Sep 14, 2021"
"8","Kubikiri Cycle: Aoiro Savant to Zaregototsukai","shreku-chan","
        Overall Rating:
        7
      ","Sep 14, 2021"
"9","Kiseijuu: Sei no Kakuritsu","Debozz","
        Overall Rating:
        8
      ","Sep 14, 2021"
"10","Darwin's Game","Debozz","
        Overall Rating:
        6
      ","Sep 14, 2021"
"11","3-gatsu no Lion 2nd Season","ricochett","
        Overall Rating:
        10
      ","Sep 14, 2021"
"12","Druaga no Tou: The Aegis of Uruk","Gurifisu-Femto","
        Overall Rating:
        9
      ","Sep 14, 2021"
"13","Kimetsu no Yaiba Movie: Mugen Ressha-hen","Narzik246","
        Overall Rating:
        10
      ","Sep 14, 2021"
"14","Yasuke","TDPVP","
        Overall Rating:
        5
      ","Sep 14, 2021"
"15","Gakuen Babysitters","SpectreHub","
        Overall Rating:
        9
      ","Sep 14, 2021"
"16","Heion Sedai no Idaten-tachi","zahermit","
        Overall Rating:
        10
      ","Sep 14, 2021"
"17","Mo Dao Zu Shi: Wanjie Pian","chi4you","
        Overall Rating:
        9
      ","Sep 14, 2021"
"18","Kanojo, Okarishimasu","Pixeletral","
        Overall Rating:
        4
      ","Sep 13, 2021"
"19","Evangelion: 3.0+1.0 Thrice Upon a Time","Havinstroke","
        Overall Rating:
        9
      ","Sep 13, 2021"
"20","Deca-Dence","Moonchild--","
        Overall Rating:
        10
      ","Sep 13, 2021"
"21","Mairimashita! Iruma-kun","cielphantomhiv30","
        Overall Rating:
        8
      ","Sep 13, 2021"
"22","Ishuzoku Reviewers","fudge290","
        Overall Rating:
        8
      ","Sep 13, 2021"
"23","Seirei Gensouki","olandir","
        Overall Rating:
        7
      ","Sep 13, 2021"
"24","Deatte 5-byou de Battle","olandir","
        Overall Rating:
        6
      ","Sep 13, 2021"
"25","Violet Evergarden","davimattoso","
        Overall Rating:
        10
      ","Sep 13, 2021"
"26","Miao Xiansheng","lindor_choco","
        Overall Rating:
        10
      ","Sep 13, 2021"
"27","Kumo Desu ga, Nani ka?","Cat_of_Anodyne","
        Overall Rating:
        2
      ","Sep 13, 2021"
"28","Hidan no Aria AA","Digital-Destiny5","
        Overall Rating:
        6
      ","Sep 13, 2021"
"29","Gintama: The Final","tigerk3","
        Overall Rating:
        10
      ","Sep 13, 2021"
"30","Odd Taxi","Cat_of_Anodyne","
        Overall Rating:
        8
      ","Sep 13, 2021"
"31","Seireitsukai no Blade Dance","Vandervekken","
        Overall Rating:
        6
      ","Sep 13, 2021"
"32","Mushoku Tensei: Isekai Ittara Honki Dasu","zeBaconcake","
        Overall Rating:
        7
      ","Sep 13, 2021"
"33","Kumo Desu ga, Nani ka?","zeBaconcake","
        Overall Rating:
        9
      ","Sep 13, 2021"
"34","Kami-tachi ni Hirowareta Otoko","JibJib5","
        Overall Rating:
        8
      ","Sep 13, 2021"
"35","Ex-Arm","Love_Anime_123","
        Overall Rating:
        1
      ","Sep 13, 2021"
"36","Haikyuu!!","Michio_","
        Overall Rating:
        9
      ","Sep 13, 2021"
"37","White Album 2","Rainy666","
        Overall Rating:
        8
      ","Sep 13, 2021"
"38","Sword Art Online: Alicization","Kirito_Kazuto_","
        Overall Rating:
        9
      ","Sep 13, 2021"
"39","Kaizoku Oujo","myaw0o","
        Overall Rating:
        10
      ","Sep 13, 2021"
"40","Saint Seiya: Soul of Gold","zeta1","
        Overall Rating:
        9
      ","Sep 13, 2021"
"41","Mushoku Tensei: Isekai Ittara Honki Dasu","mcbuscus69","
        Overall Rating:
        3
      ","Sep 13, 2021"
"42","Elfen Lied","Majorohminus","
        Overall Rating:
        4
      ","Sep 13, 2021"
"43","Terra e...","SCLFI","
        Overall Rating:
        5
      ","Sep 13, 2021"
"44","Devils Line","audioxtc","
        Overall Rating:
        9
      ","Sep 13, 2021"
"45","Hyouka","i-like-this","
        Overall Rating:
        8
      ","Sep 13, 2021"
"46","Neon Genesis Evangelion","Copyboy-13","
        Overall Rating:
        10
      ","Sep 13, 2021"
"47","Inou-Battle wa Nichijou-kei no Naka de","Dionkeykong","
        Overall Rating:
        4
      ","Sep 13, 2021"
"48","Persona 5 the Animation","okami_M","
        Overall Rating:
        10
      ","Sep 13, 2021"
"49","Mobile Suit Gundam","Scheveningen","
        Overall Rating:
        7
      ","Sep 13, 2021"
"50","Mahou Shoujo Madoka<U+2605>Magica Movie 3: Hangyaku no Monogatari","mramirezh","
        Overall Rating:
        2
      ","Sep 13, 2021"
"51","Gakkougurashi!","okami_M","
        Overall Rating:
        1
      ","Sep 13, 2021"
"52","Babylon","okami_M","
        Overall Rating:
        8
      ","Sep 13, 2021"
"53","Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set","okami_M","
        Overall Rating:
        6
      ","Sep 13, 2021"
"54","Wonder Egg Priority Special","okami_M","
        Overall Rating:
        6
      ","Sep 13, 2021"
"55","Wonder Egg Priority","okami_M","
        Overall Rating:
        9
      ","Sep 13, 2021"
"56","Evangelion: 3.0+1.0 Thrice Upon a Time","Abra1244","
        Overall Rating:
        4
      ","Sep 13, 2021"
"57","Evangelion: 3.0+1.0 Thrice Upon a Time","okami_M","
        Overall Rating:
        10
      ","Sep 13, 2021"
"58","Ex-Arm","Smertieboi","
        Overall Rating:
        1
      ","Sep 13, 2021"
"59","Yasuke","Jettskii","
        Overall Rating:
        6
      ","Sep 13, 2021"
"60","Tenkuu Shinpan","Potato_catt","
        Overall Rating:
        6
      ","Sep 13, 2021"
"61","Perfect Blue","okami_M","
        Overall Rating:
        9
      ","Sep 13, 2021"
"62","Vanitas no Karte","Alexisonfire98","
        Overall Rating:
        5
      ","Sep 13, 2021"
"63","Boku dake ga Inai Machi","Dr_Lepic","
        Overall Rating:
        10
      ","Sep 13, 2021"
"64","Tong Ling Fei","Malcayn","
        Overall Rating:
        7
      ","Sep 13, 2021"
"65","Kaifuku Jutsushi no Yarinaoshi","i-like-this","
        Overall Rating:
        1
      ","Sep 13, 2021"
"66","Howl no Ugoku Shiro","Ahiru229","
        Overall Rating:
        4
      ","Sep 13, 2021"
"67","Uramichi Oniisan","lesfiches1600","
        Overall Rating:
        8
      ","Sep 13, 2021"
"68","Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita","Snowladen","
        Overall Rating:
        9
      ","Sep 13, 2021"
"69","IDOLiSH7: Third Beat!","6fortius","
        Overall Rating:
        10
      ","Sep 13, 2021"
"70","Hige wo Soru. Soshite Joshikousei wo Hirou.","Nero_18","
        Overall Rating:
        8
      ","Sep 13, 2021"
"71","ReLIFE","cewike","
        Overall Rating:
        9
      ","Sep 13, 2021"
"72","Beastars","Vansylvania","
        Overall Rating:
        6
      ","Sep 13, 2021"
"73","FLCL","jo_la_truite","
        Overall Rating:
        3
      ","Sep 13, 2021"
"74","Shingeki no Kyojin","GOSA_AnimePro","
        Overall Rating:
        10
      ","Sep 13, 2021"
"75","Tokyo Revengers","Cuoremort","
        Overall Rating:
        1
      ","Sep 13, 2021"
"76","JoJo no Kimyou na Bouken (TV)","Hail_Lelouch","
        Overall Rating:
        9
      ","Sep 13, 2021"
"77","Kyokou Suiri","audioxtc","
        Overall Rating:
        8
      ","Sep 13, 2021"
"78","Banana Fish","twootiefrootie","
        Overall Rating:
        10
      ","Sep 13, 2021"
"79","One Piece","bekim","
        Overall Rating:
        10
      ","Sep 13, 2021"
"80","Glasslip","hoduy1910","
        Overall Rating:
        10
      ","Sep 13, 2021"
"81","Koe no Katachi","PenKe","
        Overall Rating:
        10
      ","Sep 13, 2021"
"82","Gake no Ue no Ponyo","terrence_","
        Overall Rating:
        7
      ","Sep 13, 2021"
"83","Quanzhi Fashi","UltraReviewShow","
        Overall Rating:
        1
      ","Sep 13, 2021"
"84","Kanata no Astra","Rumi_Akashi","
        Overall Rating:
        10
      ","Sep 12, 2021"
"85","Jahy-sama wa Kujikenai!","Nifty2","
        Overall Rating:
        7
      ","Sep 12, 2021"
"86","Beelzebub-jou no Okinimesu mama.","IronHeartSA","
        Overall Rating:
        7
      ","Sep 12, 2021"
"87","Tokyo Revengers","Sukamii","
        Overall Rating:
        10
      ","Sep 12, 2021"
"88","Tantei wa Mou, Shindeiru.","VILLA926","
        Overall Rating:
        4
      ","Sep 12, 2021"
"89","Tiger & Bunny","CappedPluto","
        Overall Rating:
        6
      ","Sep 12, 2021"
"90","Kono Naka ni Hitori, Imouto ga Iru!","Intrepid_Otaku","
        Overall Rating:
        5
      ","Sep 12, 2021"
"91","Redline","albertbrown","
        Overall Rating:
        9
      ","Sep 12, 2021"
"92","Vanitas no Karte","maxbraketorque","
        Overall Rating:
        9
      ","Sep 12, 2021"
"93","Jin-Rou","albertbrown","
        Overall Rating:
        9
      ","Sep 12, 2021"
"94","Battery","Segaco","
        Overall Rating:
        5
      ","Sep 12, 2021"
"95","School Days","jookie28","
        Overall Rating:
        9
      ","Sep 12, 2021"
"96","Mairimashita! Iruma-kun 2nd Season","Nero_18","
        Overall Rating:
        9
      ","Sep 12, 2021"
"97","Kanojo mo Kanojo","DaddyCamiKaze","
        Overall Rating:
        5
      ","Sep 12, 2021"
"98","Re-Main","Nora_hikari","
        Overall Rating:
        8
      ","Sep 12, 2021"
"99","Jashin Shoukan: Inran Kyonyuu Oyako Ikenie Gishiki","TheAceAttorney","
        Overall Rating:
        8
      ","Sep 12, 2021"
"100","Mairimashita! Iruma-kun 2nd Season","PyraXadon","
        Overall Rating:
        7
      ","Sep 12, 2021"
"101","Perfect Blue","ashina_heir","
        Overall Rating:
        9
      ","Sep 12, 2021"
"102","Lupin III: Kutabare! Nostradamus","Ciaran_Zagami","
        Overall Rating:
        6
      ","Sep 12, 2021"
"103","Umibe no Étranger","EriolElfwin","
        Overall Rating:
        10
      ","Sep 12, 2021"
"104","Yagate Kimi ni Naru","Pevvel","
        Overall Rating:
        10
      ","Sep 12, 2021"
"105","Yoru no Kuni","ACasualViewer","
        Overall Rating:
        8
      ","Sep 12, 2021"
"106","Shin Megami Tensei: Tokyo Mokushiroku","vashzawa","
        Overall Rating:
        5
      ","Sep 12, 2021"
"107","Howl no Ugoku Shiro","shufflebutter","
        Overall Rating:
        8
      ","Sep 12, 2021"
"108","Majo no Takkyuubin","shufflebutter","
        Overall Rating:
        9
      ","Sep 12, 2021"
"109","Yoru no Kuni","Firechick12012","
        Overall Rating:
        9
      ","Sep 12, 2021"
"110","Samurai Champloo","Jettskii","
        Overall Rating:
        9
      ","Sep 12, 2021"
"111","Kill Me Baby","Intrepid_Otaku","
        Overall Rating:
        7
      ","Sep 12, 2021"
"112","Karigurashi no Arrietty","Lordgabennn","
        Overall Rating:
        9
      ","Sep 12, 2021"
"113","Quanzhi Fashi","Oldyoungdude","
        Overall Rating:
        5
      ","Sep 12, 2021"
"114","Horimiya","Zazu9099","
        Overall Rating:
        9
      ","Sep 12, 2021"
"115","Megami-ryou no Ryoubo-kun.","PashaKai","
        Overall Rating:
        5
      ","Sep 12, 2021"
"116","Bokutachi no Remake","NixiedDominiel","
        Overall Rating:
        10
      ","Sep 12, 2021"
"117","Kanojo mo Kanojo","Itwasmedio7","
        Overall Rating:
        8
      ","Sep 12, 2021"
"118","Isekai wa Smartphone to Tomo ni.","pktome","
        Overall Rating:
        3
      ","Sep 12, 2021"
"119","Hanayaka Nari, Waga Ichizoku: Kinetograph","sourguava","
        Overall Rating:
        8
      ","Sep 12, 2021"
"120","Boruto: Naruto Next Generations","CommitJungle","
        Overall Rating:
        1
      ","Sep 12, 2021"
"121","Tengen Toppa Gurren Lagann","kamina_lives_on","
        Overall Rating:
        10
      ","Sep 12, 2021"
"122","Jahy-sama wa Kujikenai!","Ellenwitch","
        Overall Rating:
        8
      ","Sep 12, 2021"
"123","Kenja no Mago","BK_Bleed","
        Overall Rating:
        4
      ","Sep 12, 2021"
"124","Hunter x Hunter (2011)","SukiSukinow","
        Overall Rating:
        3
      ","Sep 12, 2021"
"125","Kanojo mo Kanojo","i-like-this","
        Overall Rating:
        5
      ","Sep 12, 2021"
"126","Rainbow: Nisha Rokubou no Shichinin","jolyneeee","
        Overall Rating:
        10
      ","Sep 12, 2021"
"127","Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen","coder_bro","
        Overall Rating:
        7
      ","Sep 12, 2021"
"128","Violet Evergarden Movie","DaleRoyFall","
        Overall Rating:
        10
      ","Sep 12, 2021"
"129","Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen","coder_bro","
        Overall Rating:
        4
      ","Sep 12, 2021"
"130","Kumo Desu ga, Nani ka?","houtarouchan","
        Overall Rating:
        8
      ","Sep 12, 2021"
"131","Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan","CharlesDeGaulle","
        Overall Rating:
        8
      ","Sep 12, 2021"
"132","Kaizoku Oujo","RentNoGirlfriend","
        Overall Rating:
        3
      ","Sep 12, 2021"
"133","Yoru no Kuni","NextUniverse","
        Overall Rating:
        9
      ","Sep 12, 2021"
"134","Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan","TwixxieRoll","
        Overall Rating:
        10
      ","Sep 12, 2021"
"135","Yakusoku no Neverland 2nd Season","hanalynn_12","
        Overall Rating:
        7
      ","Sep 12, 2021"
"136","Omoide Poroporo","Ahiru229","
        Overall Rating:
        4
      ","Sep 12, 2021"
"137","Jahy-sama wa Kujikenai!","Hexdsid","
        Overall Rating:
        9
      ","Sep 12, 2021"
"138","Val x Love","anirudh_anime_04","
        Overall Rating:
        5
      ","Sep 12, 2021"
"139","Tokyo Ghoul","pradyusha","
        Overall Rating:
        4
      ","Sep 12, 2021"
"140","Owarimonogatari","kflm2014","
        Overall Rating:
        8
      ","Sep 12, 2021"
"141","Boruto: Naruto Next Generations","Neocaridina2","
        Overall Rating:
        2
      ","Sep 12, 2021"
"142","Haikyuu!!","HAJIME-NO-ROBIN","
        Overall Rating:
        8
      ","Sep 12, 2021"
"143","Kuzu no Honkai","CautiousShadow","
        Overall Rating:
        7
      ","Sep 12, 2021"
"144","Tengen Toppa Gurren Lagann","sweatyhummus","
        Overall Rating:
        7
      ","Sep 12, 2021"
"145","Steins;Gate","LightScaryRobo","
        Overall Rating:
        10
      ","Sep 12, 2021"
"146","World Trigger","jolyneeee","
        Overall Rating:
        4
      ","Sep 12, 2021"
"147","Seirei Gensouki","lesfiches1600","
        Overall Rating:
        5
      ","Sep 12, 2021"
"148","Artiswitch","Sloppiest_Slop","
        Overall Rating:
        6
      ","Sep 12, 2021"
"149","Bokutachi no Remake","lesfiches1600","
        Overall Rating:
        3
      ","Sep 12, 2021"
"150","Domestic na Kanojo","nerofangay","
        Overall Rating:
        10
      ","Sep 12, 2021"
"151","Shingeki no Kyojin: The Final Season","blushinggeek","
        Overall Rating:
        8
      ","Sep 12, 2021"
"152","Tensei shitara Slime Datta Ken 2nd Season Part 2","lesfiches1600","
        Overall Rating:
        10
      ","Sep 12, 2021"
"153","Bakemono no Ko","Nijo24","
        Overall Rating:
        8
      ","Sep 12, 2021"
"154","Fugou Keiji: Balance:Unlimited","caneies","
        Overall Rating:
        10
      ","Sep 12, 2021"
"155","Monster Strike the Movie: Lucifer - Zetsubou no Yoake","elinwarrior","
        Overall Rating:
        4
      ","Sep 12, 2021"
"156","Boku dake ga Inai Machi","Infectedc123","
        Overall Rating:
        7
      ","Sep 12, 2021"
"157","Kobayashi-san Chi no Maid Dragon S","Mukho","
        Overall Rating:
        10
      ","Sep 12, 2021"
"158","Kanojo, Okarishimasu","surcuel","
        Overall Rating:
        3
      ","Sep 11, 2021"
"159","Fumetsu no Anata e","Pixeldrum","
        Overall Rating:
        4
      ","Sep 11, 2021"
"160","Mobile Suit Gundam ZZ","DeathIndexFinger","
        Overall Rating:
        7
      ","Sep 11, 2021"
"161","Naruto: Shippuuden","WaryNiklas","
        Overall Rating:
        6
      ","Sep 11, 2021"
"162","Hige wo Soru. Soshite Joshikousei wo Hirou.","xXBoKoXx","
        Overall Rating:
        9
      ","Sep 11, 2021"
"163","Seiren","airwavesventure","
        Overall Rating:
        7
      ","Sep 11, 2021"
"164","Toaru Majutsu no Index III","Lionzero","
        Overall Rating:
        7
      ","Sep 11, 2021"
"165","Fumetsu no Anata e","Muhammed374","
        Overall Rating:
        10
      ","Sep 11, 2021"
"166","Sayonara Watashi no Cramer","psychorabbit","
        Overall Rating:
        1
      ","Sep 11, 2021"
"167","Sen to Chihiro no Kamikakushi","terrence_","
        Overall Rating:
        4
      ","Sep 11, 2021"
"168","Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari","Chikari_Tomoshi","
        Overall Rating:
        5
      ","Sep 11, 2021"
"169","A Kite","ashina_heir","
        Overall Rating:
        5
      ","Sep 11, 2021"
"170","Kill la Kill","ashina_heir","
        Overall Rating:
        8
      ","Sep 11, 2021"
"171","Tensei shitara Slime Datta Ken 2nd Season Part 2","LangleyAsuka","
        Overall Rating:
        4
      ","Sep 11, 2021"
"172","Dragon Ball","ashina_heir","
        Overall Rating:
        8
      ","Sep 11, 2021"
"173","Death Note","ashina_heir","
        Overall Rating:
        9
      ","Sep 11, 2021"
"174","FLCL","ashina_heir","
        Overall Rating:
        9
      ","Sep 11, 2021"
"175","Mairimashita! Iruma-kun 2nd Season","PocketMage","
        Overall Rating:
        9
      ","Sep 11, 2021"
"176","The God of High School","ThatAnimeSnobRE","
        Overall Rating:
        3
      ","Sep 11, 2021"
"177","Jahy-sama wa Kujikenai!","skysurf","
        Overall Rating:
        3
      ","Sep 11, 2021"
"178","Ore Monogatari!!","wafflitas","
        Overall Rating:
        10
      ","Sep 11, 2021"
"179","Neon Genesis Evangelion","Yasuke_Kurosawa","
        Overall Rating:
        9
      ","Sep 11, 2021"
"180","Mairimashita! Iruma-kun 2nd Season","SpectreHub","
        Overall Rating:
        10
      ","Sep 11, 2021"
"181","Junk Head","delta5","
        Overall Rating:
        9
      ","Sep 11, 2021"
"182","Bokutachi no Remake","zdeisterreviews","
        Overall Rating:
        2
      ","Sep 11, 2021"
"183","Jahy-sama wa Kujikenai!","jahver","
        Overall Rating:
        2
      ","Sep 11, 2021"
"184","Genshiken Nidaime","GREED_Adherent","
        Overall Rating:
        7
      ","Sep 11, 2021"
"185","Tensei shitara Slime Datta Ken 2nd Season Part 2","Ebagmane","
        Overall Rating:
        7
      ","Sep 11, 2021"
"186","New Game!","medvsa","
        Overall Rating:
        7
      ","Sep 11, 2021"
"187","InuYasha","Pueblo_","
        Overall Rating:
        9
      ","Sep 11, 2021"
"188","Genshiken 2","GREED_Adherent","
        Overall Rating:
        8
      ","Sep 11, 2021"
"189","Yes ka No ka Hanbun ka","eQuinn_0x","
        Overall Rating:
        2
      ","Sep 11, 2021"
"190","Tokyo Revengers","RasyidMalik","
        Overall Rating:
        2
      ","Sep 11, 2021"
"191","Genshiken","GREED_Adherent","
        Overall Rating:
        7
      ","Sep 11, 2021"
"192","Sword Art Online","Vandervekken","
        Overall Rating:
        6
      ","Sep 11, 2021"
"193","Hyouka","Manuel_Wardhana","
        Overall Rating:
        9
      ","Sep 11, 2021"
"194","Ginga Tetsudou no Yoru","EriolElfwin","
        Overall Rating:
        10
      ","Sep 11, 2021"
"195","Golden Boy","__void__","
        Overall Rating:
        7
      ","Sep 11, 2021"
"196","Tetsuwan Atom","Jacquelin","
        Overall Rating:
        6
      ","Sep 11, 2021"
"197","Koukaku Kidoutai","ashina_heir","
        Overall Rating:
        10
      ","Sep 11, 2021"
"198","Dororo","Vansylvania","
        Overall Rating:
        9
      ","Sep 11, 2021"
"199","Mahouka Koukou no Yuutousei","self99","
        Overall Rating:
        1
      ","Sep 11, 2021"
"200","Great Pretender","ashina_heir","
        Overall Rating:
        9
      ","Sep 11, 2021"
"201","Hunter x Hunter (2011)","TheProphet1588","
        Overall Rating:
        10
      ","Sep 11, 2021"
"202","Shokugeki no Souma","jimmyrustler234","
        Overall Rating:
        9
      ","Sep 11, 2021"
"203","Nami yo Kiitekure","medvsa","
        Overall Rating:
        8
      ","Sep 11, 2021"
"204","Overlord II","jimmyrustler234","
        Overall Rating:
        2
      ","Sep 11, 2021"
"205","Kuzu no Honkai","MisterMista","
        Overall Rating:
        4
      ","Sep 11, 2021"
"206","Cowboy Bebop","ashina_heir","
        Overall Rating:
        9
      ","Sep 11, 2021"
"207","Black Lagoon","ashina_heir","
        Overall Rating:
        8
      ","Sep 11, 2021"
"208","Mairimashita! Iruma-kun 2nd Season","skysurf","
        Overall Rating:
        10
      ","Sep 11, 2021"
"209","Kanojo mo Kanojo","_UC","
        Overall Rating:
        8
      ","Sep 11, 2021"
"210","Urara Meirochou","Intrepid_Otaku","
        Overall Rating:
        7
      ","Sep 11, 2021"
"211","Jahy-sama wa Kujikenai!","SpRayquaza11","
        Overall Rating:
        7
      ","Sep 11, 2021"
"212","Bungou Stray Dogs","RoyalBlue2867","
        Overall Rating:
        6
      ","Sep 11, 2021"
"213","Jahy-sama wa Kujikenai!","Kylinity","
        Overall Rating:
        8
      ","Sep 11, 2021"
"214","Bleach","GT-weeb","
        Overall Rating:
        9
      ","Sep 11, 2021"
"215","Fumetsu no Anata e","Vpeyjilji57","
        Overall Rating:
        8
      ","Sep 11, 2021"
"216","Mairimashita! Iruma-kun 2nd Season","-aaa","
        Overall Rating:
        9
      ","Sep 11, 2021"
"217","Seiren","TonkleBonkers","
        Overall Rating:
        4
      ","Sep 11, 2021"
"218","Tensei shitara Slime Datta Ken","VladimirsGluten","
        Overall Rating:
        3
      ","Sep 11, 2021"
"219","Boku no Hero Academia 5th Season","Yuri_Cobaia","
        Overall Rating:
        5
      ","Sep 11, 2021"
"220","Ousama Game The Animation","Princezuko69","
        Overall Rating:
        8
      ","Sep 11, 2021"
"221","Kanojo mo Kanojo","Kira_queen_55","
        Overall Rating:
        8
      ","Sep 11, 2021"
"222","Katekyo Hitman Reborn!","mery58","
        Overall Rating:
        8
      ","Sep 11, 2021"
"223","Dr. Stone","Shmoody","
        Overall Rating:
        3
      ","Sep 11, 2021"
"224","Mairimashita! Iruma-kun 2nd Season","RPWPA","
        Overall Rating:
        9
      ","Sep 11, 2021"
"225","Wan Sheng Jie","Magenta-Magic","
        Overall Rating:
        8
      ","Sep 11, 2021"
"226","Josee to Tora to Sakana-tachi","4rgy4","
        Overall Rating:
        10
      ","Sep 11, 2021"
"227","Odd Taxi","bjornicles","
        Overall Rating:
        10
      ","Sep 11, 2021"
"228","Kanojo mo Kanojo","-aaa","
        Overall Rating:
        8
      ","Sep 11, 2021"
"229","Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai","Sushiyuuki","
        Overall Rating:
        10
      ","Sep 11, 2021"
"230","Yowamushi Pedal: Grande Road","HAJIME-NO-ROBIN","
        Overall Rating:
        10
      ","Sep 11, 2021"
"231","Ore Monogatari!!","HAJIME-NO-ROBIN","
        Overall Rating:
        10
      ","Sep 11, 2021"
"232","Fullmetal Alchemist: Brotherhood","ali_199","
        Overall Rating:
        10
      ","Sep 11, 2021"
"233","Shigatsu wa Kimi no Uso","makotoplz","
        Overall Rating:
        7
      ","Sep 11, 2021"
"234","Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...","i-like-this","
        Overall Rating:
        8
      ","Sep 11, 2021"
"235","Shiroi Suna no Aquatope","justundergodtier","
        Overall Rating:
        6
      ","Sep 11, 2021"
"236","Ishuzoku Reviewers","Ariahs0235","
        Overall Rating:
        6
      ","Sep 11, 2021"
"237","Mimi wo Sumaseba","Ahiru229","
        Overall Rating:
        5
      ","Sep 11, 2021"
"238","Mairimashita! Iruma-kun 2nd Season","Garbagepickles","
        Overall Rating:
        8
      ","Sep 11, 2021"
"239","UQ Holder!: Mahou Sensei Negima! 2","Dub-Chan","
        Overall Rating:
        5
      ","Sep 11, 2021"
"240","KisKis! Wo de Nanyou Shi Bohe Tang","Blackcatanime7","
        Overall Rating:
        5
      ","Sep 11, 2021"
"241","Boku no Hero Academia 5th Season","WillFlynn","
        Overall Rating:
        7
      ","Sep 11, 2021"
"242","Mairimashita! Iruma-kun 2nd Season","Hieng","
        Overall Rating:
        9
      ","Sep 11, 2021"
"243","Bakuten!!","AozoraAi","
        Overall Rating:
        6
      ","Sep 11, 2021"
"244","Jibaku Shounen Hanako-kun","tadanoKanashimi","
        Overall Rating:
        8
      ","Sep 11, 2021"
"245","Redline","Weebbe","
        Overall Rating:
        10
      ","Sep 11, 2021"
"246","Diabolik Lovers More,Blood","Luna_Witch13","
        Overall Rating:
        6
      ","Sep 11, 2021"
"247","Mayoiga","Sugi-usa","
        Overall Rating:
        3
      ","Sep 11, 2021"
"248","Boku no Hero Academia","Weebbe","
        Overall Rating:
        7
      ","Sep 11, 2021"
"249","Mairimashita! Iruma-kun 2nd Season","KANLen09","
        Overall Rating:
        8
      ","Sep 11, 2021"
"250","Kimetsu no Yaiba","androhzki","
        Overall Rating:
        8
      ","Sep 11, 2021"
